purchaseId,purchaseTime,billingCost,isConfirmed
p1,2019-01-01 0:01:05,100.5,TRUE
p2,2019-01-01 0:03:10,200,TRUE
p3,2019-01-01 1:12:15,300,FALSE
p4,2019-01-01 2:13:05,50.2,TRUE
p5,2019-01-01 2:15:05,75,TRUE
p6,2019-01-02 13:03:00,99,FALSE
p7,2019-01-01 2:15:05,250,TRUE
p8,2019-01-01 2:15:05,400,TRUE
p9,2019-01-01 2:15:05,400,TRUE
p10,2019-01-01 2:15:05,500,TRUE
p11,2019-01-01 2:15:05,455,TRUE
p12,2019-01-01 2:15:05,455,TRUE
p13,2019-01-01 2:15:05,450,TRUE
p14,2019-01-01 2:15:05,450,TRUE
p15,2019-01-01 2:15:05,750,TRUE
